chijimeru,ちぢめる,shrink,,chijimu,ちぢむ,shrink,縮
chirasu,ちらす,scatter,,chiru,ちる,be scattered,散
tsukeru,つける,soak,,tsukaru,つかる,be soaked,漬
tsukeru,つける,attach,,tsuku,つく,be attached,付
tsutaeru,つたえる,convey,,tsutawaru,つたわる,be conveyed,伝
tsuzukeru,つづける,continue,,tsuzuku,つづく,continue,続
tsunagu,つなぐ,connect,,tsunagaru,つながる,be connected,繋
tsubusu,つぶす,crush,,tsubureru,つぶれる,be crushed,潰
tsumeru,つめる,block,,tsumaru,つまる,be blocked,詰
tsumoru,つもる,load,,tsumu,つむ,be loaded,積
dasu,だす,send out,,deru,でる,go out,出
tōsu,とおす,allow through,,tōru,とおる,go through,通
tokasu,とかす,take apart,,tokeru,とける,fall apart,解
tokasu,とかす,dissolve,,tokeru,とける,dissolve,融
tokasu,とかす,melt,,tokeru,とける,melt,溶
todokeru,とどける,deliver,,todoku,とどく,arrive,届
tomeru,とめる,stop,,tomaru,とまる,stop,止
tomeru,とめる,lodge,,tomaru,とまる,stay,泊
toru,とる,take off,,toreru,とれる,come off,取
naosu,なおす,repair,,naoru,なおる,be fixed,直
naosu,なおす,cure,,naoru,なおる,be cured,治
nagasu,ながす,pour,,nagareru,ながれる,flow,流
nakasu,なかす,make cry,,naku,なく,cry,泣
nakusu,なくす,remove,,nakunaru,なくなる,lose,無
nakusu,なくす,lose someone,,nakunaru,なくなる,die,亡
natsukeru,なつける,gain affection,,natsuku,なつく,be attached,懐
naraberu,ならべる,line up,,narabu,ならぶ,form a line,並
narasu,ならす,sound,,naru,なる,sound,鳴
niru,にる,boil,,nieru,にえる,be boiled,煮
nigasu,にがす,let escape,,nigeru,にげる,escape,逃
nigosu,にごす,make muddy,,nigoru,にごる,become muddy,濁
nuku,ぬく,throw,,nukeru,ぬける,be thrown,抜
nugu,ぬぐ,take off,,nugeru,ぬげる,come off,脱
nurasu,ぬらす,dampen,,nureru,ぬれる,get wet,濡
nekasu,ねかす,make sleep,,neru,ねる,sleep,寝
nokosu,のこす,leave over,,nokoru,のこる,remain,残
nobasu,のばす,stretch,,nobiru,のびる,be stretched,伸
nobasu,のばす,prolong,,nobiru,のびる,be prolonged,延
noseru,のせる,place on,,noru,のる,be placed on,乗
noseru,のせる,publish,,noru,のる,appear in print,載
ireru,いれる,put in,,hairu,はいる,enter,入
hayasu,はやす,grow,,haeru,はえる,grow,生
hagasu,はがす,peel off,,hagareru,はがれる,peel off,剥
hagemasu,はげます,encourage,,hagemu,はげむ,endeavour,励
hajimeru,はじめる,begin,,hajimaru,はじまる,begin,始
hazusu,はずす,disconnect,,hazureru,はずれる,be disconnected,外
hanasu,はなす,separate,,hanareru,はなれる,leave,離
harasu,はらす,swell,,hareru,はれる,swell,腫
harasu,はらす,clear away,,hareru,はれる,clear away,晴
hiyasu,ひやす,cool down,,hieru,ひえる,cool down,冷
hitasu,ひたす,soak,,hitaru,ひたる,be soaked,浸
hirogeru,ひろげる,widen,,hirogaru,ひろがる,widen,広
fukameru,ふかめる,deepen,,fukamaru,ふかまる,deepen,深
fukuramasu,ふくらます,expand,,fukuramu,ふくらむ,expand,膨
fuyasu,ふやす,increase,,fueru,ふえる,increase,増
fuyasu,ふやす,increase,,fueru,ふえる,increase,殖
butsukeru,ぶつける,hit,,butsukaru,ぶつかる,be hit,０
hedateru,へだてる,separate,,hedataru,へだたる,be separated,隔
herasu,へらす,decrease,,heru,へる,decrease,減
hodoku,ほどく,take apart,,hodokeru,ほどける,come apart,解
horobosu,ほろぼす,destroy,,horobiru,ほろびる,perish,亡
horobosu,ほろぼす,destroy,,horobiru,ほろびる,perish,滅
mageru,まげる,bend,,magaru,まがる,bend,曲
makasu,まかす,defeat,,makeru,まける,be defeated,負
mazeru,まぜる,mix,,mazaru,まざる,be mixed,混
machigaeru,まちがえる,make an error,,machigau,まちがう,be wrong,間違
matomeru,まとめる,conclude,,matomaru,まとまる,conclude,纏
mayowasu,まよわす,lose,,mayō,まよう,be lost,迷
mawasu,まわす,turn round,,mawaru,まわる,go round,回
miru,みる,see,,mieru,みえる,be visible,見
midasu,みだす,disorder,,midareru,みだれる,be disordered,乱
mitsukeru,みつける,find,,mitsukaru,みつかる,be found,見
mukeru,むける,point towards,,muku,むく,point towards,向
moyasu,もやす,burn,,moeru,もえる,burn,燃
modosu,もどす,return,,modoru,もどる,return,戻
morasu,もらす,leak,,moreru,もれる,leak,漏
yaku,やく,burn,,yakeru,やける,burn,焼
yasumeru,やすめる,rest,,yasumu,やすむ,rest,休
yaburu,やぶる,tear,,yabureru,やぶれる,be torn,破
yaburu,やぶる,defeat,,yabureru,やぶれる,be defeated,敗
yameru,やめる,stop,,yamu,やむ,stop,止
yurumeru,ゆるめる,loosen,,yurumu,ゆるむ,be loose,緩
yogosu,よごす,dirty,,yogoreru,よごれる,be dirty,汚
yorokobasu,よろこばす,please,,yorokobu,よろこぶ,be pleased,喜
yowameru,よわめる,weaken,,yowamaru,よわまる,weaken,弱
wakeru,わける,divide,,wakareru,わかれる,be divided,分
wakasu,わかす,boil,,waku,わく,boil,沸
wakasu,わかす,gush,,waku,わく,gush,湧
wazurawasu,わずらわす,make worried,,wazurau,わずらう,worry,煩
watasu,わたす,extend,,wataru,わたる,extend,渉
watasu,わたす,pass over,,wataru,わたる,cross over,渡
waru,わる,break,,wareru,われる,break,割
