1,,会う,あう,,to meet
2,,青,あお,,blue
3,,青い,あおい,,blue
4,,赤,あか,,red
5,,赤い,あかい,,red
6,,明い,あかるい,,bright
7,,秋,あき,,autumn
8,,開く,あく,,"to open, to become open"
9,,開ける,あける,,to open
10,,上げる,あげる,,to give
11,,朝,あさ,,morning
12,,朝御飯,あさごはん,,breakfast
13,,,あさって,,day after tomorrow
14,,足,あし,,"foot, leg"
15,,明日,あした,,tomorrow
16,,,あそこ,,over there
17,,遊ぶ,あそぶ,,"to play, to make a visit"
18,,暖かい,あたたかい,,warm
19,,頭,あたま,,head
20,,新しい,あたらしい,,new
21,,,あちら,,there
22,,暑い,あつい,,hot
23,,熱い,あつい,,hot to the touch
24,,厚い,あつい,,"kind, deep, thick"
25,,,あっち,,over there
26,,後,あと,,afterwards
27,,,あなた,,you
28,,兄,あに,,(humble) older brother
29,,姉,あね,,(humble) older sister
30,,,あの,,that over there
31,,,あの,,um...
32,,,アパート,,apartment
33,,,あびる,,"to bathe, to shower"
34,,危ない,あぶない,,dangerous
35,,甘い,あまい,,sweet
36,,,あまり,,not very
37,,雨,あめ,,rain
38,,飴,あめ,,candy
39,,洗う,あらう,,to wash
40,,,ある,,"to be,to have (used for inanimate objects)"
41,,歩く,あるく,,to walk
42,,,あれ,,that
43,,,いい/よい,,good
44,,,いいえ,,no
45,,言う,いう,,to say
46,,家,いえ,,house
47,,,いかが,,how
48,,行く,いく,,to go
49,,,いくつ,,"how many?,how old?"
50,,,いくら,,how much?
51,,池,いけ,,pond
52,,医者,いしゃ,,medical doctor
53,,,いす,,chair
54,,忙しい,いそがしい,,"busy, irritated"
55,,痛い,いたい,,painful
56,,一,いち,,one
57,,一日,いちにち,,first of the month
58,,,いちばん,,"best, first"
59,,,いつ,,when
60,,五日,いつか,,"five days, fifth day"
61,,一緒,いっしょ,,together
62,,五つ,いつつ,,five
63,,,いつも,,always
64,,犬,いぬ,,dog
65,,今,いま,,now
66,,意味,いみ,,meaning
67,,妹,いもうと,,(humble) younger sister
68,,嫌,いや,,unpleasant
69,,入口,いりぐち,,entrance
70,,居る,いる,,"to be, to have (used for people and animals)"
71,,要る,いる,,to need
72,,入れる,いれる,,to put in
73,,色,いろ,,colour
74,,,いろいろ,,various
75,,上,うえ,,on top of
76,,後ろ,うしろ,,behind
77,,薄い,うすい,,"thin,weak"
78,,歌,うた,,song
79,,歌う,うたう,,to sing
80,,生まれる,うまれる,,to be born
81,,海,うみ,,sea
82,,売る,うる,,to sell
83,,煩い,うるさい,,"noisy, annoying"
84,,上着,うわぎ,,jacket
85,,絵,え,,picture
86,,映画,えいが,,movie
87,,映画館,えいがかん,,cinema
88,,英語,えいご,,English language
89,,,ええ,,yes
90,,駅,えき,,station
91,,,エレベーター,,elevator
92,,鉛筆,えんぴつ,,pencil
93,,,おいしい,,delicious
94,,多い,おおい,,many
95,,大きい,おおきい,,big
96,,大きな,おおきな,,big
97,,大勢,おおぜい,,great number of people
98,,お母さん,おかあさん,,(honorable) mother
99,,お菓子,おかし,,"sweets, candy"
100,,お金,おかね,,money
101,,起きる,おきる,,to get up
102,,置く,おく,,to put
103,,奥さん,おくさん,,(honorable) wife
104,,お酒,おさけ,,"alcohol, rice wine"
105,,お皿,おさら,,"plate, dish"
106,,伯父/叔父,おじいさん,,"grandfather, male senior citizen"
107,,教える,おしえる,,"to teach, to tell"
108,,伯父/叔父,おじさん,,"uncle, middle aged gentleman"
109,,押す,おす,,"to push, to stamp something"
110,,遅い,おそい,,"late, slow"
111,,お茶,おちゃ,,green tea
112,,お手洗い,おてあらい,,bathroom
113,,お父さん,おとうさん,,(honorable) father
114,,弟,おとうと,,younger brother
115,,男,おとこ,,Man
116,,男の子,おとこのこ,,Boy
117,,一昨日,おととい,,day before yesterday
118,,一昨年,おととし,,year before last
119,,大人,おとな,,Adult
