166,,決める,きめる,,to decide
167,,気持ち,きもち,,"feeling,mood"
168,,着物,きもの,,kimono
169,,客,きゃく,,"guest,customer"
170,,急,きゅう,,"urgent, steep"
171,,急行,きゅうこう,,"speedy, express"
172,,教育,きょういく,,education
173,,教会,きょうかい,,church
174,,競争,きょうそう,,competition
175,,興味,きょうみ,,an interest
176,,近所,きんじょ,,neighbourhood
177,,具合,ぐあい,,"condition,health"
178,,空気,くうき,,"air,atmosphere"
179,,空港,くうこう,,airport
180,,草,くさ,,grass
181,,,くださる,,(respectful) to give
182,,首,くび,,neck
183,,雲,くも,,cloud
184,,比べる,くらべる,,to compare
185,,,くれる,,to give
186,,暮れる,くれる,,"to get dark,to come to an end"
187,,君,くん,,suffix for familiar young male
188,,毛,け,,hair or fur
189,,計画,けいかく・する,,to plan
190,,経験,けいけん・する,,to experience
191,,経済,けいざい,,"finance,economy"
192,,警察,けいさつ,,police
193,,,ケーキ,,cake
194,,,けが・する,,to injure
195,,景色,けしき,,"scene,landscape"
196,,消しゴム,けしゴム,,eraser
197,,下宿,げしゅく,,lodging
198,,決して,けっして,,never
199,,,けれど/けれども,,however
200,,原因,げんいん,,"cause,source"
201,,,けんか・する,,to quarrel
202,,研究,けんきゅう,,research
203,,研究室,けんきゅうしつ,,"study room,laboratory"
204,,見物,けんぶつ,,sightseeing
205,,子,こ,,child
206,,,こう,,this way
207,,郊外,こうがい,,outskirts
208,,講義,こうぎ,,lecture
209,,工業,こうぎょう,,the manufacturing industry
210,,高校,こうこう,,high school
211,,高校生,こうこうせい,,high school student
212,,工場,こうじょう,,factory
213,,校長,こうちょう,,headmaster
214,,交通,こうつう,,"traffic,transportation"
215,,講堂,こうどう,,auditorium
216,,高等学校,こうとうがっこう,,high school
217,,公務員,こうむいん,,government worker
218,,国際,こくさい,,international
219,,心,こころ,,"core,heart"
220,,御主人,ごしゅじん,,(honorable) your husband
221,,故障,こしょう・する,,to break-down
222,,ご存じ,ごぞんじ,,"knowing,acquaintance"
223,,答,こたえ,,response
224,,,ごちそう,,a feast
225,,,こと,,"thing,matter"
226,,小鳥,ことり,,small bird
227,,,このあいだ,,"the other day,recently"
228,,,このごろ,,"these days,nowadays"
229,,細かい,こまかい,,"small, fine"
230,,,ごみ,,rubbish
231,,込む,こむ,,to be crowded
232,,米,こめ,,uncooked rice
233,,,ごらんになる,,(respectful) to see
234,,,これから,,after this
235,,怖い,こわい,,frightening
236,,壊す,こわす,,to break
237,,壊れる,こわれる,,to be broken
238,,,コンサート,,concert
239,,今度,こんど,,"now,next time"
240,,,コンピュータ/コンピューター,,computer
241,,今夜,こんや,,tonight
242,,最近,さいきん,,"latest,nowadays"
243,,最後,さいご,,"last,end"
244,,最初,さいしょ,,"beginning,first"
245,,坂,さか,,"slope,hill"
246,,探す,さがす,,to look for
247,,下る,さがる,,"to get down,to descend"
248,,盛ん,さかん,,"popularity,prosperous"
249,,下げる,さげる,,"to hang,to lower,to move back"
250,,差し上げる,さしあげる,,(polite) to give
251,,,さっき,,some time ago
252,,寂しい,さびしい,,lonely
253,,さ来月,さらいげつ,,the month after next
254,,さ来週,さらいしゅう,,the week after next
255,,,サラダ,,salad
256,,騒ぐ,さわぐ,,"to make noise,to be excited"
257,,触る,さわる,,to touch
258,,産業,さんぎょう,,industry
259,,,サンダル,,sandal
260,,,サンドイッチ,,sandwich
261,,残念,ざんねん,,disappointment
262,,市,し,,city
263,,字,じ,,character
264,,試合,しあい,,"match,game"
265,,仕方,しかた,,method
266,,,しかる,,a particular
267,,試験,しけん,,examination
268,,事故,じこ,,accident
269,,地震,じしん,,earthquake
270,,時代,じだい,,era
271,,下着,したぎ,,underwear
272,,支度,したく・する,,to prepare
273,,,しっかり,,"firmly,steadily"
274,,失敗,しっぱい,,"failure,mistake"
275,,辞典,じてん,,dictionary
276,,品物,しなもの,,goods
277,,,しばらく,,little while
278,,島,しま,,island
279,,市民,しみん,,citizen
280,,事務所,じむしょ,,office
281,,社会,しゃかい,,"society,public"
282,,社長,しゃちょう,,company president
283,,,じゃま,,"hindrance,intrusion"
284,,,ジャム,,jam
285,,自由,じゆう,,freedom
286,,習慣,しゅうかん,,"custom,manners"
287,,住所,じゅうしょ,,"an address,a residence"
288,,柔道,じゅうどう,,judo
289,,十分,じゅうぶん,,enough
290,,出席,しゅっせき・する,,to attend
291,,出発,しゅっぱつ・する,,to depart
292,,趣味,しゅみ,,hobby
293,,準備,じゅんび・する,,to prepare
294,,紹介,しょうかい,,introduction
295,,小学校,しょうがっこう,,elementary school
296,,小説,しょうせつ,,novel
297,,招待,しょうたい・する,,to invite
298,,承知,しょうち・する,,to consent
299,,将来,しょうらい,,"future,prospects"
300,,食事,しょくじ・する,,to have a meal
301,,食料品,しょくりょうひん,,groceries
302,,女性,じょせい,,woman
303,,知らせる,しらせる,,to notify
304,,調べる,しらべる,,to investigate
305,,人口,じんこう,,population
306,,神社,じんじゃ,,Shinto shrine
307,,親切,しんせつ,,kindness
308,,心配,しんぱい・する,,to worry
309,,新聞社,しんぶんしゃ,,newspaper company
310,,水泳,すいえい,,swimming
311,,水道,すいどう,,water supply
312,,,ずいぶん,,extremely
313,,数学,すうがく,,"mathematics,arithmetic"
314,,,スーツ,,suit
315,,,スーツケース,,suitcase
316,,過ぎる,すぎる,,to exceed
317,,,すく,,to become empty
318,,,スクリーン,,screen
319,,凄い,すごい,,terrific
320,,進む,すすむ,,to make progress
321,,,すっかり,,completely
322,,,すっと,,"straight,all of a sudden"
323,,,ステーキ,,steak
324,,捨てる,すてる,,to throw away
325,,,ステレオ,,stereo
326,,砂,すな,,sand
327,,,すばらしい,,wonderful
328,,滑る,すべる,,"to slide,to slip"
329,,隅,すみ,,"corner,nook"
330,,済む,すむ,,to finish
331,,,すり,,pickpocket
332,,,すると,,then
333,,生活,せいかつ・する,,to live
334,,生産,せいさん・する,,to produce
335,,政治,せいじ,,"politics,government"
336,,西洋,せいよう,,western countries
337,,世界,せかい,,the world
338,,席,せき,,seat
339,,説明,せつめい,,explanation
340,,背中,せなか,,back of the body
341,,,ぜひ,,without fail
342,,世話,せわ・する,,to look after
343,,線,せん,,line
344,,,ぜんぜん,,not entirely (used in a negative sentence)
345,,戦争,せんそう,,war
346,,先輩,せんぱい,,senior
347,,,そう,,really
348,,相談,そうだん・する,,to discuss
349,,育てる,そだてる,,"to rear,to bring up"
350,,卒業,そつぎょう,,graduation
351,,祖父,そふ,,grandfather
352,,,ソフト,,soft
353,,祖母,そぼ,,grandmother
354,,,それで,,because of that
355,,,それに,,moreover
356,,,それほど,,to that extent
357,,,そろそろ,,"gradually,soon"
358,,,そんな,,that sort of
359,,,そんなに,,"so much,like that"
360,,退院,たいいん・する,,to leave hospital
361,,大学生,だいがくせい,,university student
362,,大事,だいじ,,"important,valuable,serious matter"
363,,大体,だいたい,,generally
364,,,たいてい,,usually
365,,,タイプ,,"type,style"
366,,大分,だいぶ,,greatly
367,,台風,たいふう,,typhoon
368,,倒れる,たおれる,,to break down
369,,,だから,,"so,therefore"
370,,確か,たしか,,definite
371,,足す,たす,,to add a number
372,,訪ねる,たずねる,,to visit
373,,尋ねる,たずねる,,to ask
374,,正しい,ただしい,,correct
375,,畳,たたみ,,Japanese straw mat
376,,立てる,たてる,,to stand something up
377,,建てる,たてる,,to build
378,,例えば,たとえば,,for example
379,,棚,たな,,shelves
380,,楽しみ,たのしみ,,joy
381,,楽む,たのしむ,,to enjoy oneself
382,,,たまに,,occasionally
383,,為,ため,,in order to
384,,,だめ,,no good
385,,足りる,たりる,,to be enough
386,,男性,だんせい,,male
387,,暖房,だんぼう,,heating
388,,血,ち,,blood
389,,,チェック・する,,to check
390,,力,ちから,,"strength,power"
391,,,ちっとも,,not at all (used with a negative verb)
392,,,ちゃん,,suffix for familiar female person
393,,注意,ちゅうい,,caution
394,,中学校,ちゅうがっこう,,"junior high school,middle school"
395,,注射,ちゅうしゃ,,injection
396,,駐車場,ちゅうしゃじょう,,parking lot
